"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.122599999E0,4.301823739E1,1.382099482E1,1.128235513E2,1.569981079E2,1.129999995E0,2.905000000E2,5.977362763E-4,8.491168976E0,1.600000000E1,0.000000000E0
1.137614791E0,4.301823938E1,1.382098799E1,1.129457887E2,1.571203613E2,1.120000005E0,2.907999878E2,1.880227319E-3,8.543066025E0,1.600000000E1,0.000000000E0
2.150281249E0,4.301824778E1,1.382097718E1,1.123982944E2,1.565728760E2,1.580000043E0,2.935000000E2,2.739566101E-3,7.479703903E0,1.200000000E1,1.700000000E1
3.151785050E0,4.301825188E1,1.382096822E1,1.081709831E2,1.523455811E2,1.539999962E0,2.877999878E2,3.290877833E-3,5.539653778E0,8.000000000E0,2.300000000E1
4.152544581E0,4.301825014E1,1.382096187E1,1.090752537E2,1.532498779E2,1.909999967E0,2.723999939E2,4.406366372E-3,4.349323750E0,6.000000000E0,2.500000000E1
5.144397393E0,4.301824583E1,1.382094948E1,1.110916181E2,1.552662964E2,1.779999971E0,2.701000061E2,5.883747710E-3,3.793614149E0,6.000000000E0,2.500000000E1
6.151416247E0,4.301824604E1,1.382093131E1,1.099887151E2,1.541634521E2,1.789999962E0,2.710000000E2,7.361588290E-3,3.790092468E0,6.000000000E0,2.600000000E1
7.150497601E0,4.301825134E1,1.382091464E1,1.061825249E2,1.503572998E2,1.870000005E0,2.792000122E2,9.172937641E-3,3.790092468E0,4.000000000E0,2.700000000E1
8.144631924E0,4.301825914E1,1.382089508E1,1.051655177E2,1.493403320E2,1.850000024E0,2.836000061E2,1.095774914E-2,3.790092468E0,4.000000000E0,2.700000000E1
9.153578694E0,4.301826679E1,1.382087578E1,1.060863161E2,1.502611694E2,1.830000043E0,2.853999939E2,1.277602856E-2,3.790092468E0,4.000000000E0,2.700000000E1
1.015443401E1,4.301827924E1,1.382086128E1,1.050629314E2,1.492377930E2,1.830000043E0,2.900000000E2,1.456724638E-2,3.790092468E0,4.000000000E0,2.600000000E1
1.115719822E1,4.301828727E1,1.382084218E1,1.051517614E2,1.493266602E2,1.840000033E0,2.760000000E2,1.619542223E-2,3.790092468E0,4.000000000E0,2.500000000E1
1.214727713E1,4.301828766E1,1.382082216E1,1.051092777E2,1.492842407E2,1.769999981E0,2.687999878E2,1.767938844E-2,3.790092468E0,3.000000000E0,2.500000000E1
1.315239890E1,4.301829321E1,1.382080556E1,1.042177004E2,1.483927002E2,1.700000048E0,2.892000122E2,1.926397793E-2,3.790092468E0,3.000000000E0,2.400000000E1
1.415403567E1,4.301829605E1,1.382078646E1,1.045342362E2,1.487092896E2,1.700000048E0,2.798999939E2,2.097573264E-2,3.790092468E0,3.000000000E0,2.400000000E1
1.515442520E1,4.301830110E1,1.382076657E1,1.038396070E2,1.480147095E2,1.700000048E0,2.796000061E2,2.262246029E-2,3.790092468E0,3.000000000E0,2.300000000E1
1.614548296E1,4.301830184E1,1.382074634E1,1.048958176E2,1.490709839E2,1.669999957E0,2.826000061E2,2.406786935E-2,3.790092468E0,3.000000000E0,2.300000000E1
1.715134692E1,4.301830368E1,1.382072874E1,1.049438615E2,1.491190796E2,1.669999957E0,2.860000000E2,2.598515239E-2,3.790092468E0,3.000000000E0,2.300000000E1
1.815016244E1,4.301830121E1,1.382070540E1,1.057875885E2,1.499628906E2,2.039999962E0,2.757999878E2,2.807902601E-2,3.790092468E0,3.000000000E0,2.300000000E1
1.914274510E1,4.301830186E1,1.382067966E1,1.056465762E2,1.498219604E2,2.059999943E0,2.776000061E2,2.999752309E-2,3.790092468E0,3.000000000E0,2.300000000E1
2.014514676E1,4.301830351E1,1.382065617E1,1.056360065E2,1.498114624E2,1.909999967E0,2.730000000E2,3.160067722E-2,3.790092468E0,3.000000000E0,2.100000000E1
2.114934504E1,4.301830157E1,1.382063663E1,1.059019887E2,1.500775146E2,1.659999967E0,2.652999878E2,3.341294631E-2,3.790092468E0,3.000000000E0,2.100000000E1
2.215169608E1,4.301830278E1,1.382061440E1,1.062626987E2,1.504382935E2,1.799999952E0,2.815000000E2,3.527171186E-2,3.790092468E0,3.000000000E0,2.100000000E1
2.315203145E1,4.301830249E1,1.382059154E1,1.064839975E2,1.506596680E2,1.720000029E0,2.627999878E2,3.692517739E-2,3.790092468E0,3.000000000E0,2.000000000E1
2.415177348E1,4.301830511E1,1.382057152E1,1.061140062E2,1.502897339E2,1.700000048E0,2.800000000E2,3.844302930E-2,3.790092468E0,3.000000000E0,2.200000000E1
2.515325999E1,4.301831017E1,1.382055418E1,1.046256232E2,1.488013916E2,1.679999948E0,2.755000000E2,4.052669916E-2,3.790092468E0,3.000000000E0,2.200000000E1
2.615069890E1,4.301831925E1,1.382053176E1,1.040308519E2,1.482066650E2,1.730000019E0,2.981000061E2,4.254710235E-2,3.790092468E0,3.000000000E0,2.200000000E1
2.714962921E1,4.301832402E1,1.382050778E1,1.036225853E2,1.477984619E2,1.750000000E0,2.870000000E2,4.431333562E-2,3.790092468E0,3.000000000E0,2.400000000E1
2.815312629E1,4.301832609E1,1.382048624E1,1.040675288E2,1.482434692E2,1.710000038E0,2.812999878E2,4.611436283E-2,3.790092468E0,3.000000000E0,2.400000000E1
2.915144113E1,4.301832942E1,1.382046456E1,1.040116822E2,1.481876831E2,1.720000029E0,2.830000000E2,4.790632097E-2,3.790092468E0,3.000000000E0,2.400000000E1
3.015470155E1,4.301833180E1,1.382044276E1,1.039494236E2,1.481254883E2,1.730000019E0,2.793999939E2,4.972789078E-2,3.790092468E0,3.000000000E0,2.500000000E1
3.115319218E1,4.301833379E1,1.382042052E1,1.041172649E2,1.482933960E2,1.639999986E0,2.752000122E2,5.162607301E-2,3.790092468E0,3.000000000E0,2.500000000E1
3.215123103E1,4.301833651E1,1.382039747E1,1.049863997E2,1.491625977E2,1.720000029E0,2.846000061E2,5.344947082E-2,3.790092468E0,3.000000000E0,2.600000000E1
3.315263238E1,4.301833947E1,1.382037541E1,1.063219082E2,1.504981689E2,1.679999948E0,2.902999878E2,5.510424970E-2,3.790092468E0,3.000000000E0,2.600000000E1
